wiki_page,processing_timestamp,source
KondZilla,2025-08-16 23:41:42.791950,workspace.default.bronze_creators_scrape_wiki
Luccas_Neto,2025-08-16 23:41:42.791950,workspace.default.bronze_creators_scrape_wiki
Pirula_(YouTuber),2025-08-16 23:41:42.791950,workspace.default.bronze_creators_scrape_wiki
Cocomelon,2025-08-16 23:41:42.791950,workspace.default.bronze_creators_scrape_wiki
Porta_dos_Fundos,2025-08-16 23:41:42.791950,workspace.default.bronze_creators_scrape_wiki
Felipe_Neto,2025-08-16 23:41:42.791950,workspace.default.bronze_creators_scrape_wiki
PewDiePie,2025-08-16 23:41:42.791950,workspace.default.bronze_creators_scrape_wiki
Judson_Laipply,2025-08-16 23:41:42.791950,workspace.default.bronze_creators_scrape_wiki
Ray_William_Johnson,2025-08-16 23:41:42.791950,workspace.default.bronze_creators_scrape_wiki
Zoe_Sugg,2025-08-16 23:41:42.791950,workspace.default.bronze_creators_scrape_wiki
